product_prices,product_page_links,product_ids,image_links
15.99,/en_ca/productpage.1073575003.html,1073575003,"//lp2.hm.com/hmgoepprod?set=source[/b9/6b/b96b0bdf7bbe2be8377fb351a23718c5128d238c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/main]"
49.99,/en_ca/productpage.1086693002.html,1086693002,"//lp2.hm.com/hmgoepprod?set=source[/49/2f/492f9db205b42b0bea2d56444b50e64f4d90b764.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.0769535005.html,769535005,"//lp2.hm.com/hmgoepprod?set=source[/82/c8/82c8369670436e4f0187025daedbee42bc7ed71e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
35.99,/en_ca/productpage.1113528006.html,1113528006,"//lp2.hm.com/hmgoepprod?set=source[/76/8e/768e476f2c70dd45036b179ffb1b77547a328f3f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.1045005001.html,1045005001,"//lp2.hm.com/hmgoepprod?set=source[/92/48/9248338186899d8d5d026f1e317a6aadaac0a576.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
19.99,/en_ca/productpage.1073685001.html,1073685001,"//lp2.hm.com/hmgoepprod?set=source[/34/02/34024b384feb5b193b69a75bf855e4836f98e009.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0999170010.html,999170010,"//lp2.hm.com/hmgoepprod?set=source[/d7/6b/d76be8ab5dd82bcad13b6e66051d74f51d86ab29.jpg],origin[dam],category[kids_baby_girl_shoes],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0936427005.html,936427005,"//lp2.hm.com/hmgoepprod?set=source[/fd/93/fd9303b9afd260482b2bc75506d8aa5a5a521152.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
22.99,/en_ca/productpage.1081139002.html,1081139002,"//lp2.hm.com/hmgoepprod?set=source[/c9/04/c9045a2e4f732cebf686aebfbabe125315d6673a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
17.99,/en_ca/productpage.1127058003.html,1127058003,"//lp2.hm.com/hmgoepprod?set=source[/55/cc/55cc505bae26f5adbd38ff5a6532190c9b66e30f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0936427004.html,936427004,"//lp2.hm.com/hmgoepprod?set=source[/8e/c3/8ec385777ba1089b1fa03c61f5dd5098bb80dffb.jpg],origin[dam],category[kids_newbornbaby_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
49.99,/en_ca/productpage.1028868001.html,1028868001,"//lp2.hm.com/hmgoepprod?set=source[/22/b2/22b2b4bab54b0188ebd37e68df30eb0ecf51257b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
49.99,/en_ca/productpage.1086693001.html,1086693001,"//lp2.hm.com/hmgoepprod?set=source[/e1/fa/e1fa3675c4dd56414f3ad0437d3f54f8f9858d47.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
22.99,/en_ca/productpage.1073673001.html,1073673001,"//lp2.hm.com/hmgoepprod?set=source[/e6/14/e6140382a1d0c6d82c896cad5262c94a15b0f859.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0750481004.html,750481004,"//lp2.hm.com/hmgoepprod?set=source[/8f/c7/8fc7b58135b005a5079f8e9d9a5919f7fd3e7cb7.jpg],origin[dam],category[kids_newborn_outdoorclothing],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
15.99,/en_ca/productpage.0942100006.html,942100006,"//lp2.hm.com/hmgoepprod?set=source[/50/d5/50d5a968d052eb0149c412e2124f8f10b83fc430.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
40.99,/en_ca/productpage.0757045006.html,757045006,"//lp2.hm.com/hmgoepprod?set=source[/67/07/67077b995c46505ff67ccec25063ca6d434613cb.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.0858320009.html,858320009,"//lp2.hm.com/hmgoepprod?set=source[/32/46/32460f14bf8b98b3ad185ff4d31ae9bd01226ec4.jpg],origin[dam],category[kids_baby_girl_shoes_slippers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
74.99,/en_ca/productpage.1090728002.html,1090728002,"//lp2.hm.com/hmgoepprod?set=source[/06/5f/065f87df5ef54a8a882e73b6803d3df080b48736.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
22.99,/en_ca/productpage.1073589002.html,1073589002,"//lp2.hm.com/hmgoepprod?set=source[/b7/f4/b7f45c5aeabe29addf86e56210dcb2a23f039c23.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.0845169005.html,845169005,"//lp2.hm.com/hmgoepprod?set=source[/2b/0b/2b0bfe0cc83b35cb630606be83b09e7f4d304d96.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.1083484002.html,1083484002,"//lp2.hm.com/hmgoepprod?set=source[/d1/ce/d1cece80558fec2cce7e64d843675eec56ee97e4.jpg],origin[dam],category[kids_baby_boy_outerwear_jacketscoats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
